Hospital_ID,sex,Percent_Hospital,Percent_Region,Percent_State,outcome,Region
15144,Female,97%,97%,98%,Early Antithrombotics (2 days),West Central
15144,Male,95%,98%,98%,Early Antithrombotics (2 days),West Central
15144,Female,100%,98%,98%,VTE Prophylaxis,West Central
15144,Male,98%,97%,98%,VTE Prophylaxis,West Central
15144,Female,100%,99%,99%,Antithrombotics at discharge,West Central
15144,Male,100%,99%,99%,Antithrombotics at discharge,West Central
15144,Female,100%,97%,97%,Anticoagulation for AF at discharge,West Central
15144,Male,100%,98%,97%,Anticoagulation for AF at discharge,West Central
15144,Female,95%,96%,97%,Statins at Discharge,West Central
15144,Male,100%,98%,98%,Statins at Discharge,West Central
15144,Female,100%,99%,98%,Smoking Cessation Counseling,West Central
15144,Male,96%,99%,97%,Smoking Cessation Counseling,West Central
15144,Female,94%,92%,93%,Defect Free Care,West Central
15144,Male,94%,93%,93%,Defect Free Care,West Central
15144,Male,50%,43%,56%,Door To Needle Time Within 60 Minutes,West Central
15144,Female,27%,30%,34%,Door to CT Time Within 25 Minutes (All Strokes),West Central
15144,Male,32%,34%,35%,Door to CT Time Within 25 Minutes (All Strokes),West Central
15144,Female,11%,29%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
15144,Male,10%,32%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
15322,Female,100%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
15322,Male,100%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
15322,Female,100%,98%,98%,Early Antithrombotics (2 days),South
15322,Male,98%,97%,98%,Early Antithrombotics (2 days),South
15322,Female,97%,97%,98%,VTE Prophylaxis,South
15322,Male,99%,97%,98%,VTE Prophylaxis,South
15322,Female,100%,99%,99%,Antithrombotics at discharge,South
15322,Male,99%,99%,99%,Antithrombotics at discharge,South
15322,Female,100%,97%,97%,Anticoagulation for AF at discharge,South
15322,Male,100%,97%,97%,Anticoagulation for AF at discharge,South
15322,Female,100%,98%,97%,Statins at Discharge,South
15322,Male,98%,99%,98%,Statins at Discharge,South
15322,Female,100%,97%,98%,Smoking Cessation Counseling,South
15322,Male,100%,98%,97%,Smoking Cessation Counseling,South
15322,Female,97%,94%,93%,Defect Free Care,South
15322,Male,96%,94%,93%,Defect Free Care,South
15322,Female,81%,68%,52%,Door To Needle Time Within 60 Minutes,South
15322,Male,77%,66%,56%,Door To Needle Time Within 60 Minutes,South
15322,Female,59%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
15322,Male,52%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
15322,Female,68%,46%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
15322,Male,49%,42%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
15563,Female,100%,95%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,
15563,Male,100%,95%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,
15563,Female,97%,97%,98%,Early Antithrombotics (2 days),
15563,Male,94%,98%,98%,Early Antithrombotics (2 days),
15563,Female,98%,98%,98%,VTE Prophylaxis,
15563,Male,99%,97%,98%,VTE Prophylaxis,
15563,Female,96%,99%,99%,Antithrombotics at discharge,
15563,Male,97%,99%,99%,Antithrombotics at discharge,
15563,Female,81%,97%,97%,Anticoagulation for AF at discharge,
15563,Male,100%,98%,97%,Anticoagulation for AF at discharge,
15563,Female,94%,96%,97%,Statins at Discharge,
15563,Male,98%,98%,98%,Statins at Discharge,
15563,Female,100%,99%,98%,Smoking Cessation Counseling,
15563,Male,80%,99%,97%,Smoking Cessation Counseling,
15563,Female,87%,92%,93%,Defect Free Care,
15563,Male,88%,93%,93%,Defect Free Care,
15563,Female,20%,31%,52%,Door To Needle Time Within 60 Minutes,
15563,Male,38%,43%,56%,Door To Needle Time Within 60 Minutes,
15563,Female,18%,30%,34%,Door to CT Time Within 25 Minutes (All Strokes),
15563,Male,30%,34%,35%,Door to CT Time Within 25 Minutes (All Strokes),
15563,Female,21%,29%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,
15563,Male,31%,32%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,
15823,Female,100%,97%,98%,Early Antithrombotics (2 days),West Central
15823,Male,92%,98%,98%,Early Antithrombotics (2 days),West Central
15823,Female,100%,98%,98%,VTE Prophylaxis,West Central
15823,Male,83%,97%,98%,VTE Prophylaxis,West Central
15823,Female,100%,99%,99%,Antithrombotics at discharge,West Central
15823,Male,100%,99%,99%,Antithrombotics at discharge,West Central
15823,Male,100%,98%,97%,Anticoagulation for AF at discharge,West Central
15823,Female,100%,96%,97%,Statins at Discharge,West Central
15823,Male,100%,98%,98%,Statins at Discharge,West Central
15823,Female,100%,99%,98%,Smoking Cessation Counseling,West Central
15823,Male,100%,99%,97%,Smoking Cessation Counseling,West Central
15823,Female,100%,92%,93%,Defect Free Care,West Central
15823,Male,85%,93%,93%,Defect Free Care,West Central
15823,Male,100%,43%,56%,Door To Needle Time Within 60 Minutes,West Central
15823,Female,30%,30%,34%,Door to CT Time Within 25 Minutes (All Strokes),West Central
15823,Male,40%,34%,35%,Door to CT Time Within 25 Minutes (All Strokes),West Central
15823,Male,20%,32%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
16462,Female,95%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
16462,Male,96%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
16462,Female,97%,98%,98%,Early Antithrombotics (2 days),South
16462,Male,99%,97%,98%,Early Antithrombotics (2 days),South
16462,Female,99%,97%,98%,VTE Prophylaxis,South
16462,Male,99%,97%,98%,VTE Prophylaxis,South
16462,Female,100%,99%,99%,Antithrombotics at discharge,South
16462,Male,100%,99%,99%,Antithrombotics at discharge,South
16462,Female,99%,97%,97%,Anticoagulation for AF at discharge,South
16462,Male,99%,97%,97%,Anticoagulation for AF at discharge,South
16462,Female,100%,98%,97%,Statins at Discharge,South
16462,Male,98%,99%,98%,Statins at Discharge,South
16462,Female,100%,97%,98%,Smoking Cessation Counseling,South
16462,Male,100%,98%,97%,Smoking Cessation Counseling,South
16462,Female,96%,94%,93%,Defect Free Care,South
16462,Male,96%,94%,93%,Defect Free Care,South
16462,Female,71%,68%,52%,Door To Needle Time Within 60 Minutes,South
16462,Male,71%,66%,56%,Door To Needle Time Within 60 Minutes,South
16462,Female,33%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
16462,Male,35%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
16462,Female,34%,46%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
16462,Male,28%,42%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
17962,Female,96%,95%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
17962,Male,100%,95%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
17962,Female,95%,97%,98%,Early Antithrombotics (2 days),West Central
17962,Male,97%,98%,98%,Early Antithrombotics (2 days),West Central
17962,Female,99%,98%,98%,VTE Prophylaxis,West Central
17962,Male,99%,97%,98%,VTE Prophylaxis,West Central
17962,Female,99%,99%,99%,Antithrombotics at discharge,West Central
17962,Male,100%,99%,99%,Antithrombotics at discharge,West Central
17962,Female,100%,97%,97%,Anticoagulation for AF at discharge,West Central
17962,Male,100%,98%,97%,Anticoagulation for AF at discharge,West Central
17962,Female,94%,96%,97%,Statins at Discharge,West Central
17962,Male,96%,98%,98%,Statins at Discharge,West Central
17962,Female,100%,99%,98%,Smoking Cessation Counseling,West Central
17962,Male,100%,99%,97%,Smoking Cessation Counseling,West Central
17962,Female,91%,92%,93%,Defect Free Care,West Central
17962,Male,95%,93%,93%,Defect Free Care,West Central
17962,Female,13%,31%,52%,Door To Needle Time Within 60 Minutes,West Central
17962,Male,25%,43%,56%,Door To Needle Time Within 60 Minutes,West Central
17962,Female,9%,30%,34%,Door to CT Time Within 25 Minutes (All Strokes),West Central
17962,Male,16%,34%,35%,Door to CT Time Within 25 Minutes (All Strokes),West Central
17962,Female,41%,29%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
17962,Male,33%,32%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
18185,Female,73%,86%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,Panhandle
18185,Male,100%,94%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,Panhandle
18185,Female,97%,98%,98%,Early Antithrombotics (2 days),Panhandle
18185,Male,100%,99%,98%,Early Antithrombotics (2 days),Panhandle
18185,Female,91%,95%,98%,VTE Prophylaxis,Panhandle
18185,Male,93%,96%,98%,VTE Prophylaxis,Panhandle
18185,Female,99%,99%,99%,Antithrombotics at discharge,Panhandle
18185,Male,99%,99%,99%,Antithrombotics at discharge,Panhandle
18185,Female,100%,97%,97%,Anticoagulation for AF at discharge,Panhandle
18185,Male,100%,99%,97%,Anticoagulation for AF at discharge,Panhandle
18185,Female,92%,95%,97%,Statins at Discharge,Panhandle
18185,Male,100%,96%,98%,Statins at Discharge,Panhandle
18185,Female,100%,98%,98%,Smoking Cessation Counseling,Panhandle
18185,Male,100%,99%,97%,Smoking Cessation Counseling,Panhandle
18185,Female,84%,90%,93%,Defect Free Care,Panhandle
18185,Male,92%,92%,93%,Defect Free Care,Panhandle
18185,Female,15%,41%,52%,Door To Needle Time Within 60 Minutes,Panhandle
18185,Male,40%,53%,56%,Door To Needle Time Within 60 Minutes,Panhandle
18185,Female,41%,38%,34%,Door to CT Time Within 25 Minutes (All Strokes),Panhandle
18185,Male,50%,38%,35%,Door to CT Time Within 25 Minutes (All Strokes),Panhandle
18185,Female,45%,38%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,Panhandle
18185,Male,47%,48%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,Panhandle
20889,Female,100%,95%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
20889,Male,80%,95%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
20889,Female,94%,97%,98%,Early Antithrombotics (2 days),West Central
20889,Male,97%,98%,98%,Early Antithrombotics (2 days),West Central
20889,Female,100%,98%,98%,VTE Prophylaxis,West Central
20889,Male,98%,97%,98%,VTE Prophylaxis,West Central
20889,Female,94%,99%,99%,Antithrombotics at discharge,West Central
20889,Male,97%,99%,99%,Antithrombotics at discharge,West Central
20889,Female,100%,97%,97%,Anticoagulation for AF at discharge,West Central
20889,Male,100%,98%,97%,Anticoagulation for AF at discharge,West Central
20889,Female,100%,96%,97%,Statins at Discharge,West Central
20889,Male,100%,98%,98%,Statins at Discharge,West Central
20889,Female,88%,99%,98%,Smoking Cessation Counseling,West Central
20889,Male,100%,99%,97%,Smoking Cessation Counseling,West Central
20889,Female,87%,92%,93%,Defect Free Care,West Central
20889,Male,91%,93%,93%,Defect Free Care,West Central
20889,Male,50%,43%,56%,Door To Needle Time Within 60 Minutes,West Central
20889,Female,63%,30%,34%,Door to CT Time Within 25 Minutes (All Strokes),West Central
20889,Male,53%,34%,35%,Door to CT Time Within 25 Minutes (All Strokes),West Central
20889,Female,18%,29%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
20889,Male,39%,32%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
20908,Female,85%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
20908,Male,100%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
20908,Female,100%,98%,98%,Early Antithrombotics (2 days),South
20908,Male,99%,97%,98%,Early Antithrombotics (2 days),South
20908,Female,95%,97%,98%,VTE Prophylaxis,South
20908,Male,96%,97%,98%,VTE Prophylaxis,South
20908,Female,99%,99%,99%,Antithrombotics at discharge,South
20908,Male,97%,99%,99%,Antithrombotics at discharge,South
20908,Female,100%,97%,97%,Anticoagulation for AF at discharge,South
20908,Male,100%,97%,97%,Anticoagulation for AF at discharge,South
20908,Female,98%,98%,97%,Statins at Discharge,South
20908,Male,97%,99%,98%,Statins at Discharge,South
20908,Female,100%,97%,98%,Smoking Cessation Counseling,South
20908,Male,100%,98%,97%,Smoking Cessation Counseling,South
20908,Female,92%,94%,93%,Defect Free Care,South
20908,Male,91%,94%,93%,Defect Free Care,South
20908,Female,41%,68%,52%,Door To Needle Time Within 60 Minutes,South
20908,Male,41%,66%,56%,Door To Needle Time Within 60 Minutes,South
20908,Female,38%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
20908,Male,44%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
20908,Female,34%,46%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
20908,Male,30%,42%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
22282,Female,89%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
22282,Male,100%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
22282,Female,90%,98%,98%,Early Antithrombotics (2 days),South
22282,Male,88%,97%,98%,Early Antithrombotics (2 days),South
22282,Female,98%,97%,98%,VTE Prophylaxis,South
22282,Male,98%,97%,98%,VTE Prophylaxis,South
22282,Female,100%,99%,99%,Antithrombotics at discharge,South
22282,Male,100%,99%,99%,Antithrombotics at discharge,South
22282,Female,93%,97%,97%,Anticoagulation for AF at discharge,South
22282,Male,100%,97%,97%,Anticoagulation for AF at discharge,South
22282,Female,98%,98%,97%,Statins at Discharge,South
22282,Male,99%,99%,98%,Statins at Discharge,South
22282,Female,92%,97%,98%,Smoking Cessation Counseling,South
22282,Male,84%,98%,97%,Smoking Cessation Counseling,South
22282,Female,89%,94%,93%,Defect Free Care,South
22282,Male,86%,94%,93%,Defect Free Care,South
22282,Female,42%,68%,52%,Door To Needle Time Within 60 Minutes,South
22282,Male,48%,66%,56%,Door To Needle Time Within 60 Minutes,South
22282,Female,32%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
22282,Male,31%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
22282,Female,86%,46%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
22282,Male,72%,42%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
22865,Female,94%,92%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,East Central
22865,Male,93%,93%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,East Central
22865,Female,99%,98%,98%,Early Antithrombotics (2 days),East Central
22865,Male,99%,99%,98%,Early Antithrombotics (2 days),East Central
22865,Female,98%,98%,98%,VTE Prophylaxis,East Central
22865,Male,96%,99%,98%,VTE Prophylaxis,East Central
22865,Female,99%,100%,99%,Antithrombotics at discharge,East Central
22865,Male,97%,100%,99%,Antithrombotics at discharge,East Central
22865,Female,97%,98%,97%,Anticoagulation for AF at discharge,East Central
22865,Male,97%,96%,97%,Anticoagulation for AF at discharge,East Central
22865,Female,98%,98%,97%,Statins at Discharge,East Central
22865,Male,88%,97%,98%,Statins at Discharge,East Central
22865,Female,93%,96%,98%,Smoking Cessation Counseling,East Central
22865,Male,97%,95%,97%,Smoking Cessation Counseling,East Central
22865,Female,94%,94%,93%,Defect Free Care,East Central
22865,Male,87%,94%,93%,Defect Free Care,East Central
22865,Female,41%,38%,52%,Door To Needle Time Within 60 Minutes,East Central
22865,Male,35%,50%,56%,Door To Needle Time Within 60 Minutes,East Central
22865,Female,37%,24%,34%,Door to CT Time Within 25 Minutes (All Strokes),East Central
22865,Male,41%,25%,35%,Door to CT Time Within 25 Minutes (All Strokes),East Central
22865,Female,36%,32%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,East Central
22865,Male,32%,39%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,East Central
25382,Female,88%,92%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,East Central
25382,Male,92%,93%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,East Central
25382,Female,95%,98%,98%,Early Antithrombotics (2 days),East Central
25382,Male,99%,99%,98%,Early Antithrombotics (2 days),East Central
25382,Female,93%,98%,98%,VTE Prophylaxis,East Central
25382,Male,96%,99%,98%,VTE Prophylaxis,East Central
25382,Female,100%,100%,99%,Antithrombotics at discharge,East Central
25382,Male,100%,100%,99%,Antithrombotics at discharge,East Central
25382,Female,90%,98%,97%,Anticoagulation for AF at discharge,East Central
25382,Male,100%,96%,97%,Anticoagulation for AF at discharge,East Central
25382,Female,98%,98%,97%,Statins at Discharge,East Central
25382,Male,92%,97%,98%,Statins at Discharge,East Central
25382,Female,100%,96%,98%,Smoking Cessation Counseling,East Central
25382,Male,95%,95%,97%,Smoking Cessation Counseling,East Central
25382,Female,86%,94%,93%,Defect Free Care,East Central
25382,Male,90%,94%,93%,Defect Free Care,East Central
25382,Female,24%,38%,52%,Door To Needle Time Within 60 Minutes,East Central
25382,Male,53%,50%,56%,Door To Needle Time Within 60 Minutes,East Central
25382,Female,31%,24%,34%,Door to CT Time Within 25 Minutes (All Strokes),East Central
25382,Male,30%,25%,35%,Door to CT Time Within 25 Minutes (All Strokes),East Central
25382,Female,35%,32%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,East Central
25382,Male,37%,39%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,East Central
27785,Female,100%,92%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,East Central
27785,Male,100%,93%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,East Central
27785,Female,99%,98%,98%,Early Antithrombotics (2 days),East Central
27785,Male,100%,99%,98%,Early Antithrombotics (2 days),East Central
27785,Female,98%,98%,98%,VTE Prophylaxis,East Central
27785,Male,98%,99%,98%,VTE Prophylaxis,East Central
27785,Female,100%,100%,99%,Antithrombotics at discharge,East Central
27785,Male,100%,100%,99%,Antithrombotics at discharge,East Central
27785,Female,100%,98%,97%,Anticoagulation for AF at discharge,East Central
27785,Male,88%,96%,97%,Anticoagulation for AF at discharge,East Central
27785,Female,98%,98%,97%,Statins at Discharge,East Central
27785,Male,98%,97%,98%,Statins at Discharge,East Central
27785,Female,100%,96%,98%,Smoking Cessation Counseling,East Central
27785,Male,100%,95%,97%,Smoking Cessation Counseling,East Central
27785,Female,96%,94%,93%,Defect Free Care,East Central
27785,Male,94%,94%,93%,Defect Free Care,East Central
27785,Female,56%,38%,52%,Door To Needle Time Within 60 Minutes,East Central
27785,Male,50%,50%,56%,Door To Needle Time Within 60 Minutes,East Central
27785,Female,24%,24%,34%,Door to CT Time Within 25 Minutes (All Strokes),East Central
27785,Male,20%,25%,35%,Door to CT Time Within 25 Minutes (All Strokes),East Central
27785,Female,38%,32%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,East Central
27785,Male,33%,39%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,East Central
29944,Female,71%,86%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,North
29944,Male,50%,94%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,North
29944,Female,96%,98%,98%,Early Antithrombotics (2 days),North
29944,Male,96%,99%,98%,Early Antithrombotics (2 days),North
29944,Female,90%,95%,98%,VTE Prophylaxis,North
29944,Male,86%,96%,98%,VTE Prophylaxis,North
29944,Female,98%,99%,99%,Antithrombotics at discharge,North
29944,Male,100%,99%,99%,Antithrombotics at discharge,North
29944,Female,73%,97%,97%,Anticoagulation for AF at discharge,North
29944,Male,88%,99%,97%,Anticoagulation for AF at discharge,North
29944,Female,85%,95%,97%,Statins at Discharge,North
29944,Male,86%,96%,98%,Statins at Discharge,North
29944,Female,100%,98%,98%,Smoking Cessation Counseling,North
29944,Male,100%,99%,97%,Smoking Cessation Counseling,North
29944,Female,77%,90%,93%,Defect Free Care,North
29944,Male,71%,92%,93%,Defect Free Care,North
29944,Female,28%,38%,34%,Door to CT Time Within 25 Minutes (All Strokes),North
29944,Male,20%,38%,35%,Door to CT Time Within 25 Minutes (All Strokes),North
29944,Female,39%,38%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,North
29944,Male,8%,48%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,North
29984,Female,90%,92%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,
29984,Male,90%,93%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,
29984,Female,96%,98%,98%,Early Antithrombotics (2 days),
29984,Male,98%,99%,98%,Early Antithrombotics (2 days),
29984,Female,99%,98%,98%,VTE Prophylaxis,
29984,Male,99%,99%,98%,VTE Prophylaxis,
29984,Female,99%,100%,99%,Antithrombotics at discharge,
29984,Male,100%,100%,99%,Antithrombotics at discharge,
29984,Female,96%,98%,97%,Anticoagulation for AF at discharge,
29984,Male,86%,96%,97%,Anticoagulation for AF at discharge,
29984,Female,96%,98%,97%,Statins at Discharge,
29984,Male,100%,97%,98%,Statins at Discharge,
29984,Female,100%,96%,98%,Smoking Cessation Counseling,
29984,Male,100%,95%,97%,Smoking Cessation Counseling,
29984,Female,92%,94%,93%,Defect Free Care,
29984,Male,95%,94%,93%,Defect Free Care,
29984,Female,64%,38%,52%,Door To Needle Time Within 60 Minutes,
29984,Male,61%,50%,56%,Door To Needle Time Within 60 Minutes,
29984,Female,44%,24%,34%,Door to CT Time Within 25 Minutes (All Strokes),
29984,Male,51%,25%,35%,Door to CT Time Within 25 Minutes (All Strokes),
29984,Female,20%,32%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,
29984,Male,44%,39%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,
31167,Female,100%,95%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
31167,Male,83%,95%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
31167,Female,95%,97%,98%,Early Antithrombotics (2 days),West Central
31167,Male,98%,98%,98%,Early Antithrombotics (2 days),West Central
31167,Female,85%,98%,98%,VTE Prophylaxis,West Central
31167,Male,84%,97%,98%,VTE Prophylaxis,West Central
31167,Female,96%,99%,99%,Antithrombotics at discharge,West Central
31167,Male,95%,99%,99%,Antithrombotics at discharge,West Central
31167,Female,100%,97%,97%,Anticoagulation for AF at discharge,West Central
31167,Male,95%,98%,97%,Anticoagulation for AF at discharge,West Central
31167,Female,89%,96%,97%,Statins at Discharge,West Central
31167,Male,94%,98%,98%,Statins at Discharge,West Central
31167,Female,100%,99%,98%,Smoking Cessation Counseling,West Central
31167,Male,100%,99%,97%,Smoking Cessation Counseling,West Central
31167,Female,74%,92%,93%,Defect Free Care,West Central
31167,Male,75%,93%,93%,Defect Free Care,West Central
31167,Female,48%,30%,34%,Door to CT Time Within 25 Minutes (All Strokes),West Central
31167,Male,41%,34%,35%,Door to CT Time Within 25 Minutes (All Strokes),West Central
31167,Female,29%,29%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
31167,Male,33%,32%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
31190,Female,100%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
31190,Male,100%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
31190,Female,99%,98%,98%,Early Antithrombotics (2 days),South
31190,Male,95%,97%,98%,Early Antithrombotics (2 days),South
31190,Female,99%,97%,98%,VTE Prophylaxis,South
31190,Male,99%,97%,98%,VTE Prophylaxis,South
31190,Female,99%,99%,99%,Antithrombotics at discharge,South
31190,Male,100%,99%,99%,Antithrombotics at discharge,South
31190,Female,95%,97%,97%,Anticoagulation for AF at discharge,South
31190,Male,95%,97%,97%,Anticoagulation for AF at discharge,South
31190,Female,92%,98%,97%,Statins at Discharge,South
31190,Male,99%,99%,98%,Statins at Discharge,South
31190,Female,100%,97%,98%,Smoking Cessation Counseling,South
31190,Male,100%,98%,97%,Smoking Cessation Counseling,South
31190,Female,93%,94%,93%,Defect Free Care,South
31190,Male,94%,94%,93%,Defect Free Care,South
31190,Female,60%,68%,52%,Door To Needle Time Within 60 Minutes,South
31190,Male,73%,66%,56%,Door To Needle Time Within 60 Minutes,South
31190,Female,32%,42%,34%,Door to CT Time Within 25 Minutes (All Strokes),South
31190,Male,40%,42%,35%,Door to CT Time Within 25 Minutes (All Strokes),South
31190,Female,17%,46%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
31190,Male,47%,42%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
31193,Female,100%,95%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
31193,Male,100%,95%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
31193,Female,100%,97%,98%,Early Antithrombotics (2 days),West Central
31193,Male,100%,98%,98%,Early Antithrombotics (2 days),West Central
31193,Female,100%,98%,98%,VTE Prophylaxis,West Central
31193,Male,100%,97%,98%,VTE Prophylaxis,West Central
31193,Female,100%,99%,99%,Antithrombotics at discharge,West Central
31193,Male,100%,99%,99%,Antithrombotics at discharge,West Central
31193,Female,91%,97%,97%,Anticoagulation for AF at discharge,West Central
31193,Male,100%,98%,97%,Anticoagulation for AF at discharge,West Central
31193,Female,97%,96%,97%,Statins at Discharge,West Central
31193,Male,100%,98%,98%,Statins at Discharge,West Central
31193,Female,100%,99%,98%,Smoking Cessation Counseling,West Central
31193,Male,100%,99%,97%,Smoking Cessation Counseling,West Central
31193,Female,96%,92%,93%,Defect Free Care,West Central
31193,Male,100%,93%,93%,Defect Free Care,West Central
31193,Male,25%,43%,56%,Door To Needle Time Within 60 Minutes,West Central
31193,Female,100%,30%,34%,Door to CT Time Within 25 Minutes (All Strokes),West Central
31193,Male,89%,34%,35%,Door to CT Time Within 25 Minutes (All Strokes),West Central
31193,Female,18%,29%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
31193,Male,35%,32%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
31228,Female,50%,86%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,
31228,Male,88%,94%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,
31228,Female,98%,98%,98%,Early Antithrombotics (2 days),
31228,Male,100%,99%,98%,Early Antithrombotics (2 days),
31228,Female,99%,95%,98%,VTE Prophylaxis,
31228,Male,95%,96%,98%,VTE Prophylaxis,
31228,Female,93%,99%,99%,Antithrombotics at discharge,
31228,Male,95%,99%,99%,Antithrombotics at discharge,
31228,Female,100%,97%,97%,Anticoagulation for AF at discharge,
31228,Male,100%,99%,97%,Anticoagulation for AF at discharge,
31228,Female,88%,95%,97%,Statins at Discharge,
31228,Male,86%,96%,98%,Statins at Discharge,
31228,Female,100%,98%,98%,Smoking Cessation Counseling,
31228,Male,94%,99%,97%,Smoking Cessation Counseling,
31228,Female,87%,90%,93%,Defect Free Care,
31228,Male,87%,92%,93%,Defect Free Care,
31228,Female,40%,41%,52%,Door To Needle Time Within 60 Minutes,
31228,Male,38%,53%,56%,Door To Needle Time Within 60 Minutes,
31228,Female,16%,38%,34%,Door to CT Time Within 25 Minutes (All Strokes),
31228,Male,30%,38%,35%,Door to CT Time Within 25 Minutes (All Strokes),
31228,Female,47%,38%,38%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,
31228,Male,50%,48%,40%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,
32647,Female,92%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
32647,Male,100%,97%,95%,rtPA Arrive by 2 hour and Treat by 3 hour,South
32647,Female,99%,98%,98%,Early Antithrombotics (2 days),South
32647,Male,100%,97%,98%,Early Antithrombotics (2 days),South
32647,Female,100%,97%,98%,VTE Prophylaxis,South
32647,Male,100%,97%,98%,VTE Prophylaxis,South
32647,Female,100%,99%,99%,Antithrombotics at discharge,South
32647,Male,100%,99%,99%,Antithrombotics at discharge,South
