Hospital_ID,race,Percent_Hospital,Percent_Region,Percent_State,outcome,Region
13862,Black,93%,97%,97%,Smoking Cessation Counseling,South
13862,FL_Hispanic,100%,95%,97%,Smoking Cessation Counseling,South
13862,White,100%,99%,98%,Smoking Cessation Counseling,South
13862,Black,88%,94%,94%,Defect Free Care,South
13862,FL_Hispanic,93%,93%,94%,Defect Free Care,South
13862,White,89%,94%,93%,Defect Free Care,South
13862,Black,20%,54%,46%,Door To Needle Time Within 60 Minutes,South
13862,Black,17%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),South
13862,FL_Hispanic,15%,43%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13862,White,27%,45%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
13862,Black,22%,47%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
13862,White,33%,43%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
14462,FL_Hispanic,100%,94%,97%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
14462,White,100%,94%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
14462,Black,94%,97%,98%,Early Antithrombotics (2 days),West Central
14462,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),West Central
14462,White,96%,97%,98%,Early Antithrombotics (2 days),West Central
14462,Black,100%,98%,98%,VTE Prophylaxis,West Central
14462,FL_Hispanic,100%,99%,98%,VTE Prophylaxis,West Central
14462,White,97%,98%,97%,VTE Prophylaxis,West Central
14462,Black,100%,99%,99%,Antithrombotics at discharge,West Central
14462,FL_Hispanic,100%,98%,99%,Antithrombotics at discharge,West Central
14462,White,98%,99%,99%,Antithrombotics at discharge,West Central
14462,Black,50%,95%,97%,Anticoagulation for AF at discharge,West Central
14462,White,96%,97%,97%,Anticoagulation for AF at discharge,West Central
14462,Black,98%,96%,98%,Statins at Discharge,West Central
14462,FL_Hispanic,100%,96%,98%,Statins at Discharge,West Central
14462,White,97%,97%,97%,Statins at Discharge,West Central
14462,Black,86%,99%,97%,Smoking Cessation Counseling,West Central
14462,FL_Hispanic,100%,100%,97%,Smoking Cessation Counseling,West Central
14462,White,92%,99%,98%,Smoking Cessation Counseling,West Central
14462,Black,88%,93%,94%,Defect Free Care,West Central
14462,FL_Hispanic,100%,92%,94%,Defect Free Care,West Central
14462,White,90%,93%,93%,Defect Free Care,West Central
14462,White,29%,39%,52%,Door To Needle Time Within 60 Minutes,West Central
14462,Black,4%,22%,28%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14462,White,16%,34%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14462,Black,33%,32%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
14462,FL_Hispanic,33%,33%,43%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
14462,White,17%,31%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
14562,Black,100%,96%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
14562,White,86%,94%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
14562,Black,100%,97%,98%,Early Antithrombotics (2 days),West Central
14562,White,98%,97%,98%,Early Antithrombotics (2 days),West Central
14562,Black,100%,98%,98%,VTE Prophylaxis,West Central
14562,White,98%,98%,97%,VTE Prophylaxis,West Central
14562,Black,100%,99%,99%,Antithrombotics at discharge,West Central
14562,White,100%,99%,99%,Antithrombotics at discharge,West Central
14562,White,92%,97%,97%,Anticoagulation for AF at discharge,West Central
14562,Black,100%,96%,98%,Statins at Discharge,West Central
14562,White,100%,97%,97%,Statins at Discharge,West Central
14562,Black,100%,99%,97%,Smoking Cessation Counseling,West Central
14562,White,100%,99%,98%,Smoking Cessation Counseling,West Central
14562,Black,100%,93%,94%,Defect Free Care,West Central
14562,White,94%,93%,93%,Defect Free Care,West Central
14562,Black,100%,28%,46%,Door To Needle Time Within 60 Minutes,West Central
14562,White,71%,39%,52%,Door To Needle Time Within 60 Minutes,West Central
14562,Black,14%,22%,28%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14562,White,29%,34%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14562,Black,100%,32%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
14562,White,29%,31%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
14842,White,100%,94%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
14842,Black,100%,97%,98%,Early Antithrombotics (2 days),West Central
14842,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),West Central
14842,White,99%,97%,98%,Early Antithrombotics (2 days),West Central
14842,Black,100%,98%,98%,VTE Prophylaxis,West Central
14842,FL_Hispanic,100%,99%,98%,VTE Prophylaxis,West Central
14842,White,100%,98%,97%,VTE Prophylaxis,West Central
14842,Black,100%,99%,99%,Antithrombotics at discharge,West Central
14842,FL_Hispanic,100%,98%,99%,Antithrombotics at discharge,West Central
14842,White,100%,99%,99%,Antithrombotics at discharge,West Central
14842,White,100%,97%,97%,Anticoagulation for AF at discharge,West Central
14842,Black,100%,96%,98%,Statins at Discharge,West Central
14842,FL_Hispanic,100%,96%,98%,Statins at Discharge,West Central
14842,White,100%,97%,97%,Statins at Discharge,West Central
14842,FL_Hispanic,100%,100%,97%,Smoking Cessation Counseling,West Central
14842,White,100%,99%,98%,Smoking Cessation Counseling,West Central
14842,Black,100%,93%,94%,Defect Free Care,West Central
14842,FL_Hispanic,100%,92%,94%,Defect Free Care,West Central
14842,White,99%,93%,93%,Defect Free Care,West Central
14842,White,32%,39%,52%,Door To Needle Time Within 60 Minutes,West Central
14842,White,20%,34%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14842,White,27%,31%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
14942,Black,100%,96%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
14942,White,100%,94%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
14942,Black,100%,97%,98%,Early Antithrombotics (2 days),West Central
14942,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),West Central
14942,White,99%,97%,98%,Early Antithrombotics (2 days),West Central
14942,Black,99%,98%,98%,VTE Prophylaxis,West Central
14942,FL_Hispanic,100%,99%,98%,VTE Prophylaxis,West Central
14942,White,99%,98%,97%,VTE Prophylaxis,West Central
14942,Black,100%,99%,99%,Antithrombotics at discharge,West Central
14942,FL_Hispanic,100%,98%,99%,Antithrombotics at discharge,West Central
14942,White,100%,99%,99%,Antithrombotics at discharge,West Central
14942,Black,100%,95%,97%,Anticoagulation for AF at discharge,West Central
14942,FL_Hispanic,100%,100%,98%,Anticoagulation for AF at discharge,West Central
14942,White,100%,97%,97%,Anticoagulation for AF at discharge,West Central
14942,Black,97%,96%,98%,Statins at Discharge,West Central
14942,FL_Hispanic,100%,96%,98%,Statins at Discharge,West Central
14942,White,97%,97%,97%,Statins at Discharge,West Central
14942,Black,100%,99%,97%,Smoking Cessation Counseling,West Central
14942,FL_Hispanic,100%,100%,97%,Smoking Cessation Counseling,West Central
14942,White,100%,99%,98%,Smoking Cessation Counseling,West Central
14942,Black,98%,93%,94%,Defect Free Care,West Central
14942,FL_Hispanic,100%,92%,94%,Defect Free Care,West Central
14942,White,97%,93%,93%,Defect Free Care,West Central
14942,Black,29%,28%,46%,Door To Needle Time Within 60 Minutes,West Central
14942,White,59%,39%,52%,Door To Needle Time Within 60 Minutes,West Central
14942,Black,36%,22%,28%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14942,FL_Hispanic,32%,22%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14942,White,57%,34%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
14942,Black,26%,32%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
14942,FL_Hispanic,13%,33%,43%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
14942,White,28%,31%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
15144,White,100%,94%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
15144,Black,100%,97%,98%,Early Antithrombotics (2 days),West Central
15144,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),West Central
15144,White,96%,97%,98%,Early Antithrombotics (2 days),West Central
15144,Black,100%,98%,98%,VTE Prophylaxis,West Central
15144,FL_Hispanic,100%,99%,98%,VTE Prophylaxis,West Central
15144,White,99%,98%,97%,VTE Prophylaxis,West Central
15144,Black,100%,99%,99%,Antithrombotics at discharge,West Central
15144,FL_Hispanic,100%,98%,99%,Antithrombotics at discharge,West Central
15144,White,100%,99%,99%,Antithrombotics at discharge,West Central
15144,FL_Hispanic,100%,100%,98%,Anticoagulation for AF at discharge,West Central
15144,White,100%,97%,97%,Anticoagulation for AF at discharge,West Central
15144,Black,100%,96%,98%,Statins at Discharge,West Central
15144,FL_Hispanic,100%,96%,98%,Statins at Discharge,West Central
15144,White,97%,97%,97%,Statins at Discharge,West Central
15144,Black,100%,99%,97%,Smoking Cessation Counseling,West Central
15144,White,97%,99%,98%,Smoking Cessation Counseling,West Central
15144,Black,100%,93%,94%,Defect Free Care,West Central
15144,FL_Hispanic,100%,92%,94%,Defect Free Care,West Central
15144,White,93%,93%,93%,Defect Free Care,West Central
15144,White,25%,39%,52%,Door To Needle Time Within 60 Minutes,West Central
15144,FL_Hispanic,40%,22%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
15144,White,29%,34%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
15144,White,11%,31%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
15322,Black,100%,98%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,South
15322,FL_Hispanic,100%,97%,97%,rtPA Arrive by 2 hour and Treat by 3 hour,South
15322,White,100%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
15322,Black,100%,97%,98%,Early Antithrombotics (2 days),South
15322,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),South
15322,White,99%,98%,98%,Early Antithrombotics (2 days),South
15322,Black,100%,98%,98%,VTE Prophylaxis,South
15322,FL_Hispanic,82%,98%,98%,VTE Prophylaxis,South
15322,White,99%,97%,97%,VTE Prophylaxis,South
15322,Black,100%,99%,99%,Antithrombotics at discharge,South
15322,FL_Hispanic,100%,99%,99%,Antithrombotics at discharge,South
15322,White,99%,99%,99%,Antithrombotics at discharge,South
15322,Black,100%,98%,97%,Anticoagulation for AF at discharge,South
15322,FL_Hispanic,100%,97%,98%,Anticoagulation for AF at discharge,South
15322,White,100%,97%,97%,Anticoagulation for AF at discharge,South
15322,Black,100%,99%,98%,Statins at Discharge,South
15322,FL_Hispanic,100%,98%,98%,Statins at Discharge,South
15322,White,99%,98%,97%,Statins at Discharge,South
15322,Black,100%,97%,97%,Smoking Cessation Counseling,South
15322,FL_Hispanic,100%,95%,97%,Smoking Cessation Counseling,South
15322,White,100%,99%,98%,Smoking Cessation Counseling,South
15322,Black,100%,94%,94%,Defect Free Care,South
15322,FL_Hispanic,82%,93%,94%,Defect Free Care,South
15322,White,97%,94%,93%,Defect Free Care,South
15322,Black,100%,54%,46%,Door To Needle Time Within 60 Minutes,South
15322,FL_Hispanic,100%,76%,68%,Door To Needle Time Within 60 Minutes,South
15322,White,77%,66%,52%,Door To Needle Time Within 60 Minutes,South
15322,Black,44%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),South
15322,FL_Hispanic,67%,43%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
15322,White,56%,45%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
15322,Black,75%,47%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
15322,FL_Hispanic,33%,44%,43%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
15322,White,59%,43%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
15563,Black,100%,96%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,
15563,FL_Hispanic,100%,94%,97%,rtPA Arrive by 2 hour and Treat by 3 hour,
15563,White,100%,94%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,
15563,Black,100%,97%,98%,Early Antithrombotics (2 days),
15563,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),
15563,White,94%,97%,98%,Early Antithrombotics (2 days),
15563,Black,98%,98%,98%,VTE Prophylaxis,
15563,FL_Hispanic,100%,99%,98%,VTE Prophylaxis,
15563,White,98%,98%,97%,VTE Prophylaxis,
15563,Black,100%,99%,99%,Antithrombotics at discharge,
15563,FL_Hispanic,100%,98%,99%,Antithrombotics at discharge,
15563,White,94%,99%,99%,Antithrombotics at discharge,
15563,Black,80%,95%,97%,Anticoagulation for AF at discharge,
15563,White,91%,97%,97%,Anticoagulation for AF at discharge,
15563,Black,97%,96%,98%,Statins at Discharge,
15563,FL_Hispanic,100%,96%,98%,Statins at Discharge,
15563,White,94%,97%,97%,Statins at Discharge,
15563,Black,100%,99%,97%,Smoking Cessation Counseling,
15563,FL_Hispanic,100%,100%,97%,Smoking Cessation Counseling,
15563,White,83%,99%,98%,Smoking Cessation Counseling,
15563,Black,95%,93%,94%,Defect Free Care,
15563,FL_Hispanic,100%,92%,94%,Defect Free Care,
15563,White,84%,93%,93%,Defect Free Care,
15563,Black,25%,28%,46%,Door To Needle Time Within 60 Minutes,
15563,White,38%,39%,52%,Door To Needle Time Within 60 Minutes,
15563,Black,31%,22%,28%,Door to CT Time Within 25 Minutes (All Strokes),
15563,FL_Hispanic,17%,22%,36%,Door to CT Time Within 25 Minutes (All Strokes),
15563,White,19%,34%,36%,Door to CT Time Within 25 Minutes (All Strokes),
15563,Black,33%,32%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,
15563,FL_Hispanic,100%,33%,43%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,
15563,White,22%,31%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,
15823,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),West Central
15823,White,96%,97%,98%,Early Antithrombotics (2 days),West Central
15823,FL_Hispanic,100%,99%,98%,VTE Prophylaxis,West Central
15823,White,92%,98%,97%,VTE Prophylaxis,West Central
15823,FL_Hispanic,100%,98%,99%,Antithrombotics at discharge,West Central
15823,White,100%,99%,99%,Antithrombotics at discharge,West Central
15823,White,100%,97%,97%,Anticoagulation for AF at discharge,West Central
15823,FL_Hispanic,100%,96%,98%,Statins at Discharge,West Central
15823,White,100%,97%,97%,Statins at Discharge,West Central
15823,White,100%,99%,98%,Smoking Cessation Counseling,West Central
15823,FL_Hispanic,100%,92%,94%,Defect Free Care,West Central
15823,White,92%,93%,93%,Defect Free Care,West Central
15823,White,100%,39%,52%,Door To Needle Time Within 60 Minutes,West Central
15823,White,33%,34%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
15823,White,14%,31%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
16462,Black,100%,98%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,South
16462,FL_Hispanic,96%,97%,97%,rtPA Arrive by 2 hour and Treat by 3 hour,South
16462,White,93%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
16462,Black,99%,97%,98%,Early Antithrombotics (2 days),South
16462,FL_Hispanic,98%,97%,97%,Early Antithrombotics (2 days),South
16462,White,99%,98%,98%,Early Antithrombotics (2 days),South
16462,Black,100%,98%,98%,VTE Prophylaxis,South
16462,FL_Hispanic,99%,98%,98%,VTE Prophylaxis,South
16462,White,99%,97%,97%,VTE Prophylaxis,South
16462,Black,99%,99%,99%,Antithrombotics at discharge,South
16462,FL_Hispanic,100%,99%,99%,Antithrombotics at discharge,South
16462,White,100%,99%,99%,Antithrombotics at discharge,South
16462,Black,94%,98%,97%,Anticoagulation for AF at discharge,South
16462,FL_Hispanic,100%,97%,98%,Anticoagulation for AF at discharge,South
16462,White,98%,97%,97%,Anticoagulation for AF at discharge,South
16462,Black,100%,99%,98%,Statins at Discharge,South
16462,FL_Hispanic,99%,98%,98%,Statins at Discharge,South
16462,White,98%,98%,97%,Statins at Discharge,South
16462,Black,100%,97%,97%,Smoking Cessation Counseling,South
16462,FL_Hispanic,100%,95%,97%,Smoking Cessation Counseling,South
16462,White,100%,99%,98%,Smoking Cessation Counseling,South
16462,Black,96%,94%,94%,Defect Free Care,South
16462,FL_Hispanic,96%,93%,94%,Defect Free Care,South
16462,White,96%,94%,93%,Defect Free Care,South
16462,Black,100%,54%,46%,Door To Needle Time Within 60 Minutes,South
16462,FL_Hispanic,69%,76%,68%,Door To Needle Time Within 60 Minutes,South
16462,White,71%,66%,52%,Door To Needle Time Within 60 Minutes,South
16462,Black,30%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),South
16462,FL_Hispanic,35%,43%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
16462,White,34%,45%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
16462,Black,15%,47%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
16462,FL_Hispanic,34%,44%,43%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
16462,White,29%,43%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
17962,Black,100%,96%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
17962,FL_Hispanic,92%,94%,97%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
17962,White,100%,94%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
17962,Black,96%,97%,98%,Early Antithrombotics (2 days),West Central
17962,FL_Hispanic,94%,97%,97%,Early Antithrombotics (2 days),West Central
17962,White,97%,97%,98%,Early Antithrombotics (2 days),West Central
17962,Black,99%,98%,98%,VTE Prophylaxis,West Central
17962,FL_Hispanic,99%,99%,98%,VTE Prophylaxis,West Central
17962,White,99%,98%,97%,VTE Prophylaxis,West Central
17962,Black,99%,99%,99%,Antithrombotics at discharge,West Central
17962,FL_Hispanic,98%,98%,99%,Antithrombotics at discharge,West Central
17962,White,100%,99%,99%,Antithrombotics at discharge,West Central
17962,Black,100%,95%,97%,Anticoagulation for AF at discharge,West Central
17962,FL_Hispanic,100%,100%,98%,Anticoagulation for AF at discharge,West Central
17962,White,100%,97%,97%,Anticoagulation for AF at discharge,West Central
17962,Black,96%,96%,98%,Statins at Discharge,West Central
17962,FL_Hispanic,90%,96%,98%,Statins at Discharge,West Central
17962,White,97%,97%,97%,Statins at Discharge,West Central
17962,Black,100%,99%,97%,Smoking Cessation Counseling,West Central
17962,FL_Hispanic,100%,100%,97%,Smoking Cessation Counseling,West Central
17962,White,100%,99%,98%,Smoking Cessation Counseling,West Central
17962,Black,95%,93%,94%,Defect Free Care,West Central
17962,FL_Hispanic,88%,92%,94%,Defect Free Care,West Central
17962,White,94%,93%,93%,Defect Free Care,West Central
17962,Black,12%,28%,46%,Door To Needle Time Within 60 Minutes,West Central
17962,FL_Hispanic,31%,35%,68%,Door To Needle Time Within 60 Minutes,West Central
17962,White,17%,39%,52%,Door To Needle Time Within 60 Minutes,West Central
17962,Black,10%,22%,28%,Door to CT Time Within 25 Minutes (All Strokes),West Central
17962,FL_Hispanic,12%,22%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
17962,White,13%,34%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
17962,Black,38%,32%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
17962,FL_Hispanic,41%,33%,43%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
17962,White,34%,31%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
18185,Black,100%,100%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,Panhandle
18185,White,86%,89%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,Panhandle
18185,Black,100%,99%,98%,Early Antithrombotics (2 days),Panhandle
18185,FL_Hispanic,100%,100%,97%,Early Antithrombotics (2 days),Panhandle
18185,White,98%,98%,98%,Early Antithrombotics (2 days),Panhandle
18185,Black,90%,96%,98%,VTE Prophylaxis,Panhandle
18185,FL_Hispanic,100%,100%,98%,VTE Prophylaxis,Panhandle
18185,White,93%,95%,97%,VTE Prophylaxis,Panhandle
18185,Black,100%,98%,99%,Antithrombotics at discharge,Panhandle
18185,FL_Hispanic,100%,95%,99%,Antithrombotics at discharge,Panhandle
18185,White,99%,99%,99%,Antithrombotics at discharge,Panhandle
18185,Black,100%,100%,97%,Anticoagulation for AF at discharge,Panhandle
18185,White,100%,98%,97%,Anticoagulation for AF at discharge,Panhandle
18185,Black,97%,95%,98%,Statins at Discharge,Panhandle
18185,White,96%,95%,97%,Statins at Discharge,Panhandle
18185,Black,100%,96%,97%,Smoking Cessation Counseling,Panhandle
18185,White,100%,99%,98%,Smoking Cessation Counseling,Panhandle
18185,Black,88%,91%,94%,Defect Free Care,Panhandle
18185,FL_Hispanic,100%,96%,94%,Defect Free Care,Panhandle
18185,White,88%,91%,93%,Defect Free Care,Panhandle
18185,White,32%,49%,52%,Door To Needle Time Within 60 Minutes,Panhandle
18185,Black,40%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),Panhandle
18185,White,47%,40%,36%,Door to CT Time Within 25 Minutes (All Strokes),Panhandle
18185,Black,27%,45%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,Panhandle
18185,White,50%,42%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,Panhandle
20889,White,88%,94%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,West Central
20889,Black,100%,97%,98%,Early Antithrombotics (2 days),West Central
20889,FL_Hispanic,100%,97%,97%,Early Antithrombotics (2 days),West Central
20889,White,96%,97%,98%,Early Antithrombotics (2 days),West Central
20889,Black,100%,98%,98%,VTE Prophylaxis,West Central
20889,FL_Hispanic,100%,99%,98%,VTE Prophylaxis,West Central
20889,White,99%,98%,97%,VTE Prophylaxis,West Central
20889,Black,100%,99%,99%,Antithrombotics at discharge,West Central
20889,FL_Hispanic,100%,98%,99%,Antithrombotics at discharge,West Central
20889,White,95%,99%,99%,Antithrombotics at discharge,West Central
20889,White,100%,97%,97%,Anticoagulation for AF at discharge,West Central
20889,Black,100%,96%,98%,Statins at Discharge,West Central
20889,FL_Hispanic,100%,96%,98%,Statins at Discharge,West Central
20889,White,100%,97%,97%,Statins at Discharge,West Central
20889,FL_Hispanic,100%,100%,97%,Smoking Cessation Counseling,West Central
20889,White,93%,99%,98%,Smoking Cessation Counseling,West Central
20889,Black,100%,93%,94%,Defect Free Care,West Central
20889,FL_Hispanic,100%,92%,94%,Defect Free Care,West Central
20889,White,89%,93%,93%,Defect Free Care,West Central
20889,White,33%,39%,52%,Door To Needle Time Within 60 Minutes,West Central
20889,Black,50%,22%,28%,Door to CT Time Within 25 Minutes (All Strokes),West Central
20889,White,59%,34%,36%,Door to CT Time Within 25 Minutes (All Strokes),West Central
20889,White,30%,31%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,West Central
20908,Black,100%,98%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,South
20908,FL_Hispanic,100%,97%,97%,rtPA Arrive by 2 hour and Treat by 3 hour,South
20908,White,92%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
20908,Black,100%,97%,98%,Early Antithrombotics (2 days),South
20908,FL_Hispanic,88%,97%,97%,Early Antithrombotics (2 days),South
20908,White,100%,98%,98%,Early Antithrombotics (2 days),South
20908,Black,91%,98%,98%,VTE Prophylaxis,South
20908,FL_Hispanic,92%,98%,98%,VTE Prophylaxis,South
20908,White,96%,97%,97%,VTE Prophylaxis,South
20908,Black,100%,99%,99%,Antithrombotics at discharge,South
20908,FL_Hispanic,92%,99%,99%,Antithrombotics at discharge,South
20908,White,98%,99%,99%,Antithrombotics at discharge,South
20908,Black,100%,98%,97%,Anticoagulation for AF at discharge,South
20908,FL_Hispanic,100%,97%,98%,Anticoagulation for AF at discharge,South
20908,White,100%,97%,97%,Anticoagulation for AF at discharge,South
20908,Black,97%,99%,98%,Statins at Discharge,South
20908,FL_Hispanic,100%,98%,98%,Statins at Discharge,South
20908,White,97%,98%,97%,Statins at Discharge,South
20908,Black,100%,97%,97%,Smoking Cessation Counseling,South
20908,FL_Hispanic,100%,95%,97%,Smoking Cessation Counseling,South
20908,White,100%,99%,98%,Smoking Cessation Counseling,South
20908,Black,89%,94%,94%,Defect Free Care,South
20908,FL_Hispanic,85%,93%,94%,Defect Free Care,South
20908,White,92%,94%,93%,Defect Free Care,South
20908,Black,33%,54%,46%,Door To Needle Time Within 60 Minutes,South
20908,White,43%,66%,52%,Door To Needle Time Within 60 Minutes,South
20908,Black,29%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),South
20908,FL_Hispanic,36%,43%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
20908,White,44%,45%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
20908,Black,21%,47%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
20908,FL_Hispanic,17%,44%,43%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
20908,White,35%,43%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
22282,Black,92%,98%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,South
22282,FL_Hispanic,94%,97%,97%,rtPA Arrive by 2 hour and Treat by 3 hour,South
22282,White,100%,96%,94%,rtPA Arrive by 2 hour and Treat by 3 hour,South
22282,Black,88%,97%,98%,Early Antithrombotics (2 days),South
22282,FL_Hispanic,89%,97%,97%,Early Antithrombotics (2 days),South
22282,White,90%,98%,98%,Early Antithrombotics (2 days),South
22282,Black,97%,98%,98%,VTE Prophylaxis,South
22282,FL_Hispanic,99%,98%,98%,VTE Prophylaxis,South
22282,White,98%,97%,97%,VTE Prophylaxis,South
22282,Black,100%,99%,99%,Antithrombotics at discharge,South
22282,FL_Hispanic,100%,99%,99%,Antithrombotics at discharge,South
22282,White,100%,99%,99%,Antithrombotics at discharge,South
22282,Black,100%,98%,97%,Anticoagulation for AF at discharge,South
22282,FL_Hispanic,89%,97%,98%,Anticoagulation for AF at discharge,South
22282,White,100%,97%,97%,Anticoagulation for AF at discharge,South
22282,Black,100%,99%,98%,Statins at Discharge,South
22282,FL_Hispanic,98%,98%,98%,Statins at Discharge,South
22282,White,96%,98%,97%,Statins at Discharge,South
22282,Black,86%,97%,97%,Smoking Cessation Counseling,South
22282,FL_Hispanic,88%,95%,97%,Smoking Cessation Counseling,South
22282,White,88%,99%,98%,Smoking Cessation Counseling,South
22282,Black,86%,94%,94%,Defect Free Care,South
22282,FL_Hispanic,87%,93%,94%,Defect Free Care,South
22282,White,89%,94%,93%,Defect Free Care,South
22282,Black,47%,54%,46%,Door To Needle Time Within 60 Minutes,South
22282,FL_Hispanic,48%,76%,68%,Door To Needle Time Within 60 Minutes,South
22282,White,33%,66%,52%,Door To Needle Time Within 60 Minutes,South
22282,Black,26%,32%,28%,Door to CT Time Within 25 Minutes (All Strokes),South
22282,FL_Hispanic,32%,43%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
22282,White,38%,45%,36%,Door to CT Time Within 25 Minutes (All Strokes),South
22282,Black,65%,47%,42%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
22282,FL_Hispanic,84%,44%,43%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
22282,White,100%,43%,37%,rtPA Arrive by 3.5 hour and Treat by 4.5 hour,South
22865,Black,100%,90%,96%,rtPA Arrive by 2 hour and Treat by 3 hour,East Central
22865,FL_Hispanic,100%,97%,97%,rtPA Arrive by 2 hour and Treat by 3 hour,East Central
